text,sentiment,confidence
Zero stars if I could give it.,NEUTRAL,0.679
Super intuitive and easy to use.,POSITIVE,0.939
Super intuitive and easy to use.,POSITIVE,0.939
Works as expected.,NEUTRAL,0.513
"It’s okay, nothing special.",NEUTRAL,0.618
Fast delivery and perfect packaging.,POSITIVE,0.822
Highly recommend to everyone.,POSITIVE,0.929
It broke after two uses.,NEGATIVE,0.74
"The delivery was fast, but the packaging was damaged.",NEUTRAL,0.588
"The app interface is clean, although it crashes sometimes.",NEUTRAL,0.491
"Support was helpful, but it took too long to get a response.",NEUTRAL,0.456
"The product is soft and comfortable, but the stitching is poor.",NEUTRAL,0.436
"Material quality was bad, though the design is nice.",NEUTRAL,0.486
"I enjoyed the service, even if the wait time was long.",POSITIVE,0.929
"While the price is high, the features are impressive.",POSITIVE,0.915
"Good quality overall, but the charger was missing.",NEUTRAL,0.473
"Not the best experience, yet the staff was courteous.",NEUTRAL,0.413
"The performance was underwhelming, but it's affordable.",NEUTRAL,0.669
"The drawback was that the material was of poor quality, but the product was good it was soft.",NEUTRAL,0.484
"The battery life is disappointing, though the screen is amazing.",NEUTRAL,0.586
"Although the product looked great, it didn’t function well.",NEGATIVE,0.732
"I like the concept, but the execution needs improvement.",NEUTRAL,0.491
"Shipping was on time, but the customer service was unresponsive.",NEGATIVE,0.794
"Beautiful packaging, but the product inside was defective.",NEUTRAL,0.561
"Affordable and fast, however the quality is mediocre.",NEUTRAL,0.639
"The website is user-friendly, yet it took long to place an order.",NEUTRAL,0.487
"Product is functional, but lacks premium feel.",NEUTRAL,0.504
"While the overall experience was good, one item arrived broken.",NEUTRAL,0.443
